original_img_file,new_img_file,phrase
4002.jpg,1360.jpg,the teal drink bottle on the right of the risco bottle
3819.jpg,1361.jpg,GOLDEN CURRY
820.jpg,1362.jpg,the CLABBER jar with a blue lid on the right of the MERALD Roasted bottle
820.jpg,1363.jpg,the bottle with a red lid on the right of the MERALD Roasted bottle
820.jpg,1364.jpg,the teal thermos behind the Clabber can
820.jpg,1365.jpg,the black bottle behind the EMERALD Roaste Walnuts bottle
820.jpg,1366.jpg,The water bottle with a black lid on the right of the REDROSE box
4571.jpg,1367.jpg,The can with a silver lid behind the SAN GIORGIO box
2350.jpg,1368.jpg,PLANTERS
2350.jpg,1369.jpg,The bottle with a red lid on the left of the REDROSE box
1841.jpg,1370.jpg,The Curry 
2937.jpg,1371.jpg,the Crunch box
2758.jpg,1372.jpg,the COUSCOUS
1391.jpg,1373.jpg,Banana Nut Crunch
2258.jpg,1374.jpg,A bottle of sesame seed
2258.jpg,1375.jpg,Blender with a black lid
577.jpg,1376.jpg,A bottle of roasted nuts
3939.jpg,1377.jpg,A bottle of planters
3939.jpg,1378.jpg,Sesame seed
3939.jpg,1379.jpg,the blue lid bottle behind the box of post brand banana product
1788.jpg,1380.jpg,a red box of san gio
1775.jpg,1381.jpg,the green bottle of Emerald dry roasted walnuts
1775.jpg,1382.jpg,Salt
573.jpg,1383.jpg,the bottle of Planters in front of a red bag
2826.jpg,1384.jpg,the san giorgio box
2826.jpg,1385.jpg,the redrose box
1267.jpg,1386.jpg,Lipton box
1267.jpg,1387.jpg,Equal brand item
2348.jpg,1388.jpg,Mango Peach Passion on the right of sesame seed
2354.jpg,1389.jpg,Mango Peach Passion in front of the wrap box
2354.jpg,1390.jpg,The box with Heart to Heart printed on it
1792.jpg,1391.jpg,Couscous next to the green box of redrose
1792.jpg,1392.jpg,The green box on the right of couscous
1447.jpg,1393.jpg,Emerald dry roasted product behind the blue box
1447.jpg,1394.jpg,The red rose tea
3494.jpg,1395.jpg,the squeak's bottle
286.jpg,1396.jpg,the Emerald dry roasted almonds
286.jpg,1397.jpg,the green can behind the Emerald dry roasted almonds
666.jpg,1398.jpg,A canister of raisins
961.jpg,1399.jpg,maid can
961.jpg,1400.jpg,the orange cap bottle in front of the box of heart to heart
3506.jpg,1401.jpg,a can of clabber girl
3506.jpg,1402.jpg,A box marked with fiber
160.jpg,1403.jpg,Mango Peach Passion of peace brand
60.jpg,1404.jpg,The box with Reynolds Wrap on it
60.jpg,1405.jpg,The white box on the right of the box with Reynolds Wrap
2033.jpg,1406.jpg,The box of Reynolds
2033.jpg,1407.jpg,The sesame seed
2463.jpg,1408.jpg,the bottle with crisco
250.jpg,1409.jpg,the bottle with a morto on its body
3501.jpg,1410.jpg,the bottle with the brand ending in rald
3501.jpg,1411.jpg,the canister with save $4.00
2023.jpg,1412.jpg,the red canister with a brand starting with sun-ma
1732.jpg,1413.jpg,the giant eagle bottle 
1732.jpg,1414.jpg,the green sauce bottle
158.jpg,1415.jpg,the box with nut
158.jpg,1416.jpg,the newcastle brand box
158.jpg,1417.jpg,the bottle on the left of the newcastle box
2958.jpg,1418.jpg,the sun-maid canister
1049.jpg,1419.jpg,the redrose box
1049.jpg,1420.jpg,the wyler's bottle
2369.jpg,1421.jpg,the bottle with new on its body
2036.jpg,1422.jpg,the vanilla bottle 
199.jpg,1423.jpg,the olive oil bottle
4521.jpg,1424.jpg,the rice select product
4521.jpg,1425.jpg,the banana nut crunch box
3312.jpg,1426.jpg,the bottle with a word starting with pla
3312.jpg,1427.jpg,the black pepper can
4164.jpg,1428.jpg,the bottle with planters on its cover
3202.jpg,1429.jpg,the corn can
3202.jpg,1430.jpg,the peanut butter bottle 
4306.jpg,1431.jpg,the bottle with the brand ending in RALD
4306.jpg,1432.jpg,the bottle with the couscous
4306.jpg,1433.jpg,the seed bottle 
1672.jpg,1434.jpg,the crisco bottle
343.jpg,1435.jpg,the crunch of post brand
343.jpg,1436.jpg,the bottle of a brand starting with emeral
343.jpg,1437.jpg,the bottle with a blue lid next to the crunch box
4490.jpg,1438.jpg,the canister next to the heart to heart box
3861.jpg,1439.jpg,the banana nut crunch
3861.jpg,1440.jpg,the cling wrap box
2256.jpg,1441.jpg,the box with the word ending in ingwrap
2283.jpg,1442.jpg,the walnuts
2283.jpg,1443.jpg,the salt bottle
3251.jpg,1444.jpg,the brown ale box
3466.jpg,1445.jpg,the blue bottle of planters
3466.jpg,1446.jpg,the redrose box
3466.jpg,1447.jpg,the box of the GLAD brand
4486.jpg,1448.jpg,the box of vermont curry
2130.jpg,1449.jpg,the banana nut crunch box
2130.jpg,1450.jpg,the brown ale box
2130.jpg,1451.jpg,the vermont curry box
2187.jpg,1452.jpg,the raisins can
2187.jpg,1453.jpg,the redrose box
2187.jpg,1454.jpg,the green bottle on the left of the raisins box
3455.jpg,1455.jpg,the bottle of planters brand
3455.jpg,1456.jpg,the chili bottle
4467.jpg,1457.jpg,the red canister of a brand starting with sun-m
4467.jpg,1458.jpg,the newcastle box
451.jpg,1459.jpg,the chili bottle
230.jpg,1460.jpg,the vermontcurry box
230.jpg,1461.jpg,the salt can
2652.jpg,1462.jpg,the banana nut crunch
4495.jpg,1463.jpg,the banana nut crunch
4495.jpg,1464.jpg,the red canister on the left of the crunch box
4495.jpg,1465.jpg,the can with a blue lid on the right of the crunch box
4495.jpg,1466.jpg,the black pepper box
2696.jpg,1467.jpg,the apple jacks box 
2696.jpg,1468.jpg,the walnuts bottle
2696.jpg,1469.jpg,the golden curry box
232.jpg,1470.jpg,the banana nut box
232.jpg,1471.jpg,the newcastle box
232.jpg,1472.jpg,the san giorgio box
770.jpg,1473.jpg,the seed bottle
770.jpg,1474.jpg,the crunch which made of banana nut
770.jpg,1475.jpg,the heart to heart box
4023.jpg,1476.jpg,the TenRen box
4023.jpg,1477.jpg,the heart to heart box
4023.jpg,1478.jpg,the redrose bose
3645.jpg,1479.jpg,the planters bottle
3287.jpg,1480.jpg,the stash box
3287.jpg,1481.jpg,the cvs phanmacy bottle
4506.jpg,1482.jpg,the box of a brand starting with red
4506.jpg,1483.jpg,the bottle with a word dixie on its cover
4163.jpg,1484.jpg, A water bottle marked Pharmacy
4163.jpg,1485.jpg,REDROSE box in front of the toaster
2263.jpg,1486.jpg,REDROSE tea leaf
2099.jpg,1487.jpg,the box of Banana nut crunch
2099.jpg,1488.jpg,the heart to heart box
4551.jpg,1489.jpg,A shop of Superga
4551.jpg,1490.jpg,A person stood in front of a shop called superga
4551.jpg,1491.jpg,the store on the right of the superga
4551.jpg,1492.jpg,the store on the left of the superga
4287.jpg,1493.jpg,A shop with the slogan top brands for less
4287.jpg,1494.jpg,the store with michael gleeson on its sign board
4287.jpg,1495.jpg,the shoe fitting experts store
1110.jpg,1496.jpg,The shop of LEADERS
1110.jpg,1497.jpg,The shop of Nature Republic
1110.jpg,1498.jpg,The shop of Saem
2002.jpg,1499.jpg,Umbrella printed with Onion Crunch
2002.jpg,1500.jpg,Umbrella printed with SABRETT
3005.jpg,1501.jpg,The shop of Vegetable Garden
3005.jpg,1502.jpg,The shop on the left of Vegetable Garden
3005.jpg,1503.jpg,The shop on the right of Vegetable Garden
2587.jpg,1504.jpg,The shop of NANCY on the second floor
2587.jpg,1505.jpg,The shop of trebien
2587.jpg,1506.jpg,The shop of DURAN
2771.jpg,1507.jpg,the stage restaurant
2771.jpg,1508.jpg,The shop of CBGB
2285.jpg,1509.jpg,The Godfather
2744.jpg,1510.jpg,The China xpress
2744.jpg,1511.jpg,The restaurant named Neptune fish bar
2744.jpg,1512.jpg,the store on the left of the China xpress restaurant
1289.jpg,1513.jpg,the bas store
1289.jpg,1514.jpg,The shop of ABADI
464.jpg,1515.jpg,The shop of Booze Buster
464.jpg,1516.jpg,The shop of Relate
464.jpg,1517.jpg,the store on the left of the booze buster store
464.jpg,1518.jpg,the male with white jacket outside the booze buster
464.jpg,1519.jpg,the woman who is closest to the booze buster store
2841.jpg,1520.jpg,The shop of Khalsa super store
2841.jpg,1521.jpg,the std store
1189.jpg,1522.jpg,The shop of Glordano
1189.jpg,1523.jpg,The body shop
1189.jpg,1524.jpg,the hush puppies store
40.jpg,1525.jpg,The shop called Mega city glass
40.jpg,1526.jpg,the convenience store
3483.jpg,1527.jpg,The shop called Blue berry
3483.jpg,1528.jpg,The shop called Tacos Y Naches
3483.jpg,1529.jpg,the store on the right of the blue berry store
2006.jpg,1530.jpg,the vegetable garden store
2006.jpg,1531.jpg,pizzeria
2006.jpg,1532.jpg,the store on the right of the pizza shop
4099.jpg,1533.jpg,The shop of Toosh
4099.jpg,1534.jpg,the shop on the far right of the toosh
2390.jpg,1535.jpg,the store with united on its sign board
2390.jpg,1536.jpg,the daisy mark
719.jpg,1537.jpg,the store which is called passion
2886.jpg,1538.jpg,the store that sells glasses
2886.jpg,1539.jpg,the busy bee restaurant
785.jpg,1540.jpg,The shop called innisfree
1989.jpg,1541.jpg,the store on the right of the tui store
4416.jpg,1542.jpg,the cate store
4416.jpg,1543.jpg,the store with a word like land's on its sign board
1733.jpg,1544.jpg,the flower shop
4543.jpg,1545.jpg,the ice cream car
4543.jpg,1546.jpg,the food truck on the left of the ice cream truck
1987.jpg,1547.jpg,the tonymoly store 
1987.jpg,1548.jpg,The shop called The Face Shop
1987.jpg,1549.jpg,the holika store
2103.jpg,1550.jpg,The shop of NatWest
2103.jpg,1551.jpg,The shop called flowers inc
1096.jpg,1552.jpg,The shop called The Journal
1096.jpg,1553.jpg,the store on the right of the journal store
1488.jpg,1554.jpg,the store which is called savers
1488.jpg,1555.jpg,the post office
1488.jpg,1556.jpg,blue shopfront on the right of the savers shop
1488.jpg,1557.jpg,the gossip shop
927.jpg,1558.jpg,the bakery store
4286.jpg,1559.jpg,the car outside the flower shop
4286.jpg,1560.jpg,the blue car outside the Y&L store 
4286.jpg,1561.jpg,the store with a brand starting with the flow
1527.jpg,1562.jpg,The shop called Houghton Carpet Centre
1527.jpg,1563.jpg,the building on the right of the empire house
1527.jpg,1564.jpg,the building with a empire house brand
1527.jpg,1565.jpg,the fire exit
2538.jpg,1566.jpg,the post office
2538.jpg,1567.jpg,the leeds building society store
3737.jpg,1568.jpg,the store with a brand starting with CA BEAU
3737.jpg,1569.jpg,the closed store which is called photography
3737.jpg,1570.jpg,The shop called best-one
797.jpg,1571.jpg,the walkin workout store
797.jpg,1572.jpg,the janpanese restaurant
171.jpg,1573.jpg,the food corner
171.jpg,1574.jpg,the deli and salad bar
1742.jpg,1575.jpg,the GM inc.
1742.jpg,1576.jpg,the metro perfume inc.
1742.jpg,1577.jpg,the store whose contact number is 212-684-3800
1764.jpg,1578.jpg,The shop for cafe and bake
1764.jpg,1579.jpg,The shop for lease
3944.jpg,1580.jpg,The shop called Cock's
2225.jpg,1581.jpg,The transparent sport bottle with a white and black cap called Blender.
2225.jpg,1582.jpg,The steel bottle with a silver body and a silver cap on the right of the Blender bottle.
2225.jpg,1583.jpg,yellow box called GOLDEN CURRY.
2225.jpg,1584.jpg,The white and red box called BLACK.
1509.jpg,1585.jpg,a bottle on the left of the san gior box
1509.jpg,1586.jpg,The red box on the most right has a brand name starts with san Giop.
1509.jpg,1587.jpg,The package on the most left called FRUIT & NUT MEDLEY.
1509.jpg,1588.jpg,The red plastic bag on the bottom right corner in front of a red box called San GIOP.
2636.jpg,1589.jpg,The deep red box on the right called NEWCASTLE BROW
2636.jpg,1590.jpg,The blue bottle with a silver cap in front of the NEWCASTLE BROW.
2636.jpg,1591.jpg,The bottle with a blue cap on the right one bottle away from NEWCASTLE BROW.
1511.jpg,1592.jpg,The bottle with a green cap called EMERAL DRY ROA ALMON.
1511.jpg,1593.jpg,The box of FIBER ONE.
4124.jpg,1594.jpg,The transparent glass bottle with a red sticker and on the left of SAN GIORGIO.
4124.jpg,1595.jpg,The red plastic package in front of SAN GIORGIO.
4124.jpg,1596.jpg,The black bottle with a black cap on the right of FRUIT & NUT MEDLEY.
4124.jpg,1597.jpg,The bottle with a green cap behind FRUIT & NUT MEDLEY.
4124.jpg,1598.jpg,The transparent bottle with a yellow cap behind FRUIT & NUT MEDLEY.
1106.jpg,1599.jpg,The green and black box called REDROSE.
1106.jpg,1600.jpg,The yellow and white box behind REDROSE.
1106.jpg,1601.jpg,This transparent bottle in the middle of the picture behind REDROSE.
1106.jpg,1602.jpg,The black bottle in front of REDROSE and Banana Nut Crunch.
1896.jpg,1603.jpg,The yellow and white box call Banana Nut Crunch.
1896.jpg,1604.jpg,The glass bottle with a yellow cap on the left of Banana Nut Crunch.
1896.jpg,1605.jpg,The bottle with a green cap on the left of Banana Nut Crunch.
2620.jpg,1606.jpg,The yellow box called FIBER ONE.
2620.jpg,1607.jpg,This blue box called Barilla LINGUINE.
2620.jpg,1608.jpg,The bottle with a red cap and on the right side of Barilla LINGUINE.
2620.jpg,1609.jpg,The glass container behind FIBER ONE.
1702.jpg,1610.jpg,The white and blue container called DIXIE CRYSTALS SUGAR.
1702.jpg,1611.jpg,The blue bottle with a white cap on the left side of DIXIE CRYSTALS SUGAR.
1702.jpg,1612.jpg,The orange bowl behind DIXIE CRYSTALS SUGAR.
1702.jpg,1613.jpg,The black bowl in front of DIXIE CRYSTALS SUGAR.
3311.jpg,1614.jpg,RICE SELECT COUSCOUS.
1734.jpg,1615.jpg,The gold cap bottle called olive.
1335.jpg,1616.jpg,The box of Egg.
1335.jpg,1617.jpg,This box of Banana Nut Crunch.
1335.jpg,1618.jpg,The yellow bottle with a white cap behind Egg.
1040.jpg,1619.jpg,The blue and white box on the left side of Crisco.
1040.jpg,1620.jpg,The bottle with a green cap called Criso.
2083.jpg,1621.jpg,The bottle on the right side of Black Pepper
500.jpg,1622.jpg,THE SESAME SEED.
2063.jpg,1623.jpg,The black cap bottle called AGAVE MECTAM VANILLA.
2063.jpg,1624.jpg,The gold cap bottle of olive oil.
3259.jpg,1625.jpg,The blue and white container called Sure.
3259.jpg,1626.jpg,The Hillshire Farm on the bottom
3259.jpg,1627.jpg,The plastic bag of ST2.
3259.jpg,1628.jpg,The red bag of FRiDAY'S.
3267.jpg,1629.jpg,MARTIN'S POTATO ROLLS
3846.jpg,1630.jpg,The red cup on the right side of THE VIEW mug
3846.jpg,1631.jpg,The red cup on the left side of THE VIEW mug
3490.jpg,1632.jpg,The container of Cannellini Beans READY TO SERVE.
3490.jpg,1633.jpg,The can on the left side of Cannellini Beans READY TO SERVE.
2221.jpg,1634.jpg,The Blue box called Tillamook.
2876.jpg,1635.jpg,Organic tofu.
847.jpg,1636.jpg,The glass bottle of RED GOLD SALSA MILD.
938.jpg,1637.jpg,The orange bag of masa brosa HARINA DE.
18.jpg,1638.jpg,The paper called BREO.
1087.jpg,1639.jpg,The white box of Creres on the left
823.jpg,1640.jpg,The can of GEISHA SEAN SPROUTS.
823.jpg,1641.jpg,The can called CLAMS.
1934.jpg,1642.jpg,The red and yellow box called VAN HOUTEN COCOA.
1934.jpg,1643.jpg,the package of quaker
1934.jpg,1644.jpg,The box of KitKat.
2035.jpg,1645.jpg,The white and blue box of PURA.
2035.jpg,1646.jpg,The food bag called Smoked Salm.
2035.jpg,1647.jpg,The container called PHILADEIPHIA.
2035.jpg,1648.jpg,The green box of forme in the upper left
3883.jpg,1649.jpg,The blue bag of Potato Gnocchi.
3883.jpg,1650.jpg,The black box of Blue Cheese.
3883.jpg,1651.jpg,THE YODERS GHOPPED GARLIC.
3883.jpg,1652.jpg,The red and black bottle on the left side of Fat-Free Half & Half.
3883.jpg,1653.jpg,a box of FAT-Free Half & Half.
3883.jpg,1654.jpg,The white package of Great Value Real Bacon Pieces.
4190.jpg,1655.jpg,The transparent bottle of Wesson.
4190.jpg,1656.jpg,BRER RABBIT Molasses.
4190.jpg,1657.jpg,The white cap can of Calumet.
4190.jpg,1658.jpg,The yellow package of TOLL HOUSE NESTLE.
1299.jpg,1659.jpg,The orange box of Neilson next to a cup of original 3%
1299.jpg,1660.jpg,the sealtest buttermilk
1299.jpg,1661.jpg,The red box called Beatrice.
4065.jpg,1662.jpg,The red and white box of Nutri Grain.
4065.jpg,1663.jpg,The box of Green Glant Broccoli cheese sauce
4065.jpg,1664.jpg,The white and blue box of 100 CALORIE RIGHT Bites on the far left
278.jpg,1665.jpg,The white box on the left called Florida's Natural.
278.jpg,1666.jpg,The green and white box on the bottom right called NATURAL YOGURT.
278.jpg,1667.jpg,The purple box of Cheerios.
278.jpg,1668.jpg,The green box of Cheerio.
3283.jpg,1669.jpg,The blue cap bottle of PLANTERS.
1304.jpg,1670.jpg,The box of GOLDEN CURRY.
1304.jpg,1671.jpg,"The black, green and white box of REDROSE."
1155.jpg,1672.jpg,The orange cap container of COUSCOUS.
1359.jpg,1673.jpg,The red box of SAN GIORGIO.
1359.jpg,1674.jpg,The green and black box of REDROSE.
1359.jpg,1675.jpg,The red container of SUN-MAID RAISINS.
1983.jpg,1676.jpg,The green container of MERALD Roasted monds.
400.jpg,1677.jpg,The white box called Heart to Heart.
4034.jpg,1678.jpg,The green cap bottle of CRISCO.
1661.jpg,1679.jpg,The red cap bottle on the left of CLABBE GIRL CORN STAR.
1661.jpg,1680.jpg, The red cap bottle on the right side of CLABBE GIRL CORN STAR.
1264.jpg,1681.jpg,The black building of DARK ANGEL.
1264.jpg,1682.jpg,The orange and black building of Max rien.
2067.jpg,1683.jpg,Batson's drug store.
2067.jpg,1684.jpg,the shop's name ends with market.
1502.jpg,1685.jpg,the green restaurant of subway.
1502.jpg,1686.jpg,the shop of newsagents.
1502.jpg,1687.jpg,"the shop called price busters,"
381.jpg,1688.jpg,the restaurant called fajny sklep.
381.jpg,1689.jpg,the blue shop called kwiki mart.
381.jpg,1690.jpg,the shop's name ends up with jockey.
391.jpg,1691.jpg,the shop of andersons.
391.jpg,1692.jpg,the shop of woolpack.
391.jpg,1693.jpg,the shop called the cherry tree.
391.jpg,1694.jpg,the shop between kellys and the cherry tree.
3421.jpg,1695.jpg,the shop of clubclio.
3421.jpg,1696.jpg,the shop called the face shop.
3421.jpg,1697.jpg,the shop named holika.
3421.jpg,1698.jpg,the shop's name end up with onymoly.
4096.jpg,1699.jpg,the red butcher shop.
4096.jpg,1700.jpg,the yellow shop between acaida bookstore and butcher shop.
4096.jpg,1701.jpg,the blue shop called acadia book store.
779.jpg,1702.jpg,the hugo boss.
779.jpg,1703.jpg,the shop of coach.
779.jpg,1704.jpg,the shop of lacoste.
892.jpg,1705.jpg,the restaurant called kamal mahal.
892.jpg,1706.jpg,the restaurant on the left side of kamal mahal.
662.jpg,1707.jpg,the black shop of crocs.
662.jpg,1708.jpg,the diner
2577.jpg,1709.jpg,The goemon ramen bar.
2577.jpg,1710.jpg,shop no.13
2875.jpg,1711.jpg,The shop of boss.
2875.jpg,1712.jpg,the shop of montblank
2875.jpg,1713.jpg,the coach.
2875.jpg,1714.jpg,the shop named versace.
1169.jpg,1715.jpg,the istanbul restaurant
1169.jpg,1716.jpg,the shop on the right side of istanbul restaurant.
1169.jpg,1717.jpg,the shop on the left side of istanbul restaurant.
4037.jpg,1718.jpg,the red and white shop of bargainbuys.
4037.jpg,1719.jpg,the shop's name starts with betff.
4037.jpg,1720.jpg,the shop's name ends up with eacocks.
1685.jpg,1721.jpg,liquor shop.
1685.jpg,1722.jpg,the shop of checkers..
4242.jpg,1723.jpg,the shop of mr vacuum cleaner.
4242.jpg,1724.jpg,the shop on the right side of mr vacuum cleaner.
4242.jpg,1725.jpg,the shop called barbers elite.
2834.jpg,1726.jpg,the shop called the owl's meat shop.
2834.jpg,1727.jpg,the shop of art.
2834.jpg,1728.jpg,the shop called N Hair salon.
721.jpg,1729.jpg,the red shop called gentleman's
721.jpg,1730.jpg,the blue shop of best-one.
4469.jpg,1731.jpg,the shop of abbey barbers.
4469.jpg,1732.jpg,the shop's name starts with gre.
4469.jpg,1733.jpg,the shop called sine libanaise.
1310.jpg,1734.jpg,the green shop of deli grocery.
1310.jpg,1735.jpg,the medical shop
3940.jpg,1736.jpg,the green shop of murrays.
3940.jpg,1737.jpg,the blue shop of greggs.
3940.jpg,1738.jpg,the shop to let
3940.jpg,1739.jpg,the estate agents
3850.jpg,1740.jpg,the red shop of local americans.
3850.jpg,1741.jpg, the blue shop of kiko
3698.jpg,1742.jpg,The red restaurant of chop suey centre.
2012.jpg,1743.jpg,the best kebab traditional fish bar.
2012.jpg,1744.jpg,the red shop of vodafone.
2012.jpg,1745.jpg,the blue shop of albone wellers.
2012.jpg,1746.jpg,the man wearing blue t-shirt and red shorts in front of the vodafone.
2012.jpg,1747.jpg,the man carrying a red bag in front of the best kebab.
2145.jpg,1748.jpg,the white shop of coin laundry.
2145.jpg,1749.jpg,the green shop of king mini mart.
3405.jpg,1750.jpg,fu ying chinese restaurant.
3405.jpg,1751.jpg,the shop's name starts from ba japan.
1677.jpg,1752.jpg,the blue shop of tiles etc.
1677.jpg,1753.jpg,the islington music shop
3554.jpg,1754.jpg,the books shop
3554.jpg,1755.jpg,the shop called bakery coffee shop.
3304.jpg,1756.jpg,the black shop of 202.
3304.jpg,1757.jpg,the fancy shop
2902.jpg,1758.jpg,the bank of scotland.
2902.jpg,1759.jpg,the red shop called semi.
2168.jpg,1760.jpg, the black shop of 53am.
2168.jpg,1761.jpg,the blue shop on the left side of 53am.
926.jpg,1762.jpg,the red and white shop called international gents hairdressers.
926.jpg,1763.jpg,the black shop's name end up with urt.
4364.jpg,1764.jpg,the aldo sale shop.
4364.jpg,1765.jpg,the accessorize.
4364.jpg,1766.jpg,the shop on the left side of aldo sale shop.
4013.jpg,1767.jpg,the blue shop's name starts with a p.
4013.jpg,1768.jpg,the yellow shop of wine.
2543.jpg,1769.jpg,the agy's barber shop.
2543.jpg,1770.jpg,the blue shop's name starts with kis.
2543.jpg,1771.jpg,the shop's name end up with uxe.
2126.jpg,1772.jpg,the red shop of a.k hair st.
2126.jpg,1773.jpg,the blue shop on the left side of a.k hair st.
1003.jpg,1774.jpg,the 100% U HAIR STUDIO.
1683.jpg,1775.jpg,the yellow box of egg buttermilk.
4105.jpg,1776.jpg,the red container of sun-maid raisins.
2526.jpg,1777.jpg,the blender bottle with black and white cap
2526.jpg,1778.jpg,the gold cap bottle of olive oil.
2342.jpg,1779.jpg,a can of PROGRESSO
2342.jpg,1780.jpg,COKE
3505.jpg,1781.jpg,BUMBLE BEE
3505.jpg,1782.jpg,the same can below the BUMBLE BEE can
2075.jpg,1783.jpg,PROGRESSO ON THE LEFT
2075.jpg,1784.jpg,a can of PROGRESSO on the right
2324.jpg,1785.jpg,PROGRESSO on the right
1626.jpg,1786.jpg,the contadina tomato paste
1626.jpg,1787.jpg,the PROGRESSO in front
1626.jpg,1788.jpg,a can of cream corn 
3090.jpg,1789.jpg,jif jar
3090.jpg,1790.jpg,wonder bag
3090.jpg,1791.jpg,progresso beside the jif
3090.jpg,1792.jpg,the nutri grain
435.jpg,1793.jpg,the nutri grain
435.jpg,1794.jpg,the cheerios
435.jpg,1795.jpg,blue can in front of the nutri grain
3666.jpg,1796.jpg,the kids play clay can
683.jpg,1797.jpg,wonder brand product
683.jpg,1798.jpg,the jif jar
3030.jpg,1799.jpg,a tall can at the rear right of the wonder whole grain bread
3030.jpg,1800.jpg,the jar of jif
3260.jpg,1801.jpg,a red cap bottle in front of the progresso can
3260.jpg,1802.jpg,the bottle of white powder beside the progresso can
3260.jpg,1803.jpg,nutri grain box
254.jpg,1804.jpg,the 5 whole grains box
2957.jpg,1805.jpg,progresso can
1074.jpg,1806.jpg,the progresso on top
4225.jpg,1807.jpg,progresso on the lower shelf
258.jpg,1808.jpg,yeo's can
4176.jpg,1809.jpg,a can of yeo's on the right
1031.jpg,1810.jpg,a can of yeo's on the right
113.jpg,1811.jpg,dasani bottle
2598.jpg,1812.jpg,yeo's on the right
2598.jpg,1813.jpg,yeo's on the left
2598.jpg,1814.jpg,a tall bottle between two yeo's cans
3097.jpg,1815.jpg,the green kraft brand bottle
3097.jpg,1816.jpg,"the bottle with ""A1"""
3097.jpg,1817.jpg,yeo's on the left
3520.jpg,1818.jpg,a bottle of kraft parmes
3520.jpg,1819.jpg,A1 bottle
419.jpg,1820.jpg,the kraft
4102.jpg,1821.jpg,the yeo's on the right
1458.jpg,1822.jpg,yeo's on the left
1458.jpg,1823.jpg,halls
3440.jpg,1824.jpg,a bottle of lee kun kee
3364.jpg,1825.jpg,LITE SOY SAUCE
3364.jpg,1826.jpg,house italian sauce
1363.jpg,1827.jpg,lee kun kee bottle
1363.jpg,1828.jpg,A1 bottle
3170.jpg,1829.jpg,little red lid bottle on the right of the soy sauce
2725.jpg,1830.jpg,yeo's on the right
2725.jpg,1831.jpg,the sour cream
2856.jpg,1832.jpg,tomato soup
3412.jpg,1833.jpg,Tomato SOUP
1598.jpg,1834.jpg,the can of tomato soup
3542.jpg,1835.jpg,a bottle of coffee mate
3542.jpg,1836.jpg,the rightmose bottle of domino sugar
3542.jpg,1837.jpg,tomato soup on the right
3542.jpg,1838.jpg,tomato soup on the left
2568.jpg,1839.jpg,coffee mate on the right
2568.jpg,1840.jpg,The tomato soup on the left
2970.jpg,1841.jpg,the domino sugar
2970.jpg,1842.jpg,tomato soup on the right
1226.jpg,1843.jpg,a carton of tropicana that fell
1226.jpg,1844.jpg,the tropicana carton on the upper shelf
3216.jpg,1845.jpg,the tropicana on the left
2137.jpg,1846.jpg,tropicana on the right
2137.jpg,1847.jpg,tropicana on the left
2583.jpg,1848.jpg,tropicana on the lower shelf
2665.jpg,1849.jpg,tropicana on the right
4266.jpg,1850.jpg,the florida's natural box
2287.jpg,1851.jpg,a pack of whole grain white
2287.jpg,1852.jpg,the brown jar between the tropicana box and the whole grain bag
1715.jpg,1853.jpg,silk on the left
3567.jpg,1854.jpg,the silk box
3567.jpg,1855.jpg,olivio
4357.jpg,1856.jpg,silk next to olivio
2655.jpg,1857.jpg,silk
2655.jpg,1858.jpg,a cup of olivio
3713.jpg,1859.jpg,silk
4497.jpg,1860.jpg,a box of florida's natural
3711.jpg,1861.jpg,florida's natural
1233.jpg,1862.jpg,red little bottel next to the vanilla silk milk
1233.jpg,1863.jpg,a1 bottle
2863.jpg,1864.jpg,coke on the left
2863.jpg,1865.jpg,coke in the middle of the image
2967.jpg,1866.jpg,coke on the right
2967.jpg,1867.jpg,coke on the left
536.jpg,1868.jpg,sprite
536.jpg,1869.jpg,coke
3749.jpg,1870.jpg,sprite
3749.jpg,1871.jpg,the silver can above the sprite
2236.jpg,1872.jpg,the market district box with a red sticker
2236.jpg,1873.jpg,the kashi autumn wheat
3588.jpg,1874.jpg,healthy choice on the right
3588.jpg,1875.jpg,green cup on the left of healthy choice
4161.jpg,1876.jpg,the beef pot roast soup below
4161.jpg,1877.jpg,a black cap bottle on the right of the garlic powder
4161.jpg,1878.jpg,a black cap bottle on the left of the garlic powder
1704.jpg,1879.jpg,healthy choice below
1704.jpg,1880.jpg,garlic powder
1704.jpg,1881.jpg,healthy choice above
1704.jpg,1882.jpg,parsley bottle
1547.jpg,1883.jpg,the healthy choice in front
3451.jpg,1884.jpg,coffee mate in front
3396.jpg,1885.jpg,domino can of sugar
3396.jpg,1886.jpg,the coffee mate 
1912.jpg,1887.jpg,a box of apple&eve juice in front
1912.jpg,1888.jpg,a box of apple & eve in the back
1141.jpg,1889.jpg,the fallen box of apple & eve
1141.jpg,1890.jpg,apple & eve in the back
3340.jpg,1891.jpg,toasteds box
3340.jpg,1892.jpg,seeds of change box
2114.jpg,1893.jpg,cling wrap
2114.jpg,1894.jpg,seeds of change
2114.jpg,1895.jpg,blue bottle next to seeds of change box
773.jpg,1896.jpg,a box of seeds of change
2430.jpg,1897.jpg,cream corn
2552.jpg,1898.jpg,seeds of change in front
448.jpg,1899.jpg,jif jar
448.jpg,1900.jpg,nutri box on the right
